Error in cpuinfo: prctl(PR_SVE_GET_VL) failed
INFO: Created TensorFlow Lite XNNPACK delegate for CPU.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
W0000 00:00:1767906674.816057 2312371 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
W0000 00:00:1767906674.999445 2312371 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
======================================================================
PERFORMANCE BASELINE TEST - Raspberry Pi
Story 8.2: MediaPipe Tasks API (0.10.18)
======================================================================
Duration: 300s (5 minutes)
Started: 2026-01-08 21:11:05

Importing dependencies...
✅ Imports completed in 8.28s

Creating Flask app...
Initializing CV components...
✅ CV components initialized in 0.62s

Running performance test for 300s...
Target: 10 FPS = 3000 frames

Metrics captured every second:
  - Memory (RSS): Resident Set Size
  - CPU (%): Per-core average
  - FPS: Frames processed per second

[   1s] Memory:  238.3 MB | CPU:   9.7% | FPS:  3.63 | Frames:     4 | Crashes: 0
[   2s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.56 | Frames:     8 | Crashes: 0
[   3s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.57 | Frames:    12 | Crashes: 0
[   4s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.48 | Frames:    16 | Crashes: 0
[   5s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.45 | Frames:    20 | Crashes: 0
[   6s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.35 | Frames:    23 | Crashes: 0
[   7s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.29 | Frames:    26 | Crashes: 0
[   8s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.25 | Frames:    29 | Crashes: 0
[  10s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.23 | Frames:    33 | Crashes: 0
[  11s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.21 | Frames:    36 | Crashes: 0
[  12s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.15 | Frames:    39 | Crashes: 0
[  13s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.15 | Frames:    43 | Crashes: 0
[  14s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.17 | Frames:    47 | Crashes: 0
[  16s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.18 | Frames:    51 | Crashes: 0
[  17s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.18 | Frames:    55 | Crashes: 0
[  18s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.19 | Frames:    59 | Crashes: 0
[  19s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.15 | Frames:    62 | Crashes: 0
[  20s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.16 | Frames:    66 | Crashes: 0
